Resolved,PhysicalFilename,OriginalName,Hash,PhysicalSizeBytes,BundleListSizeBytes,PhysicalLastWriteTime,BundleListFlag,BundleListSource,BundleListLine,PhysicalFullPath
True,9415f8a18d187b120ecd7ceec91ec38e.bundle,lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e,13850066,13850066,29/05/2026 20:56:26,9,StreamingAssets/Bundle/BundleList.txt,439,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\9415f8a18d187b120ecd7ceec91ec38e.bundle
True,efced4fa27e8fd903d46e111c9eb7136.bundle,lua_data_data_1.bundle,efced4fa27e8fd903d46e111c9eb7136,10485682,10485682,29/05/2026 13:33:22,2,StreamingAssets/Bundle/BundleList.txt,21059,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\efced4fa27e8fd903d46e111c9eb7136.bundle
True,421c11dd66e5d53e7140894896490667.bundle,lua_data_th.bundle,421c11dd66e5d53e7140894896490667,10165285,10165285,29/05/2026 13:33:18,4,StreamingAssets/Bundle/BundleList.txt,101,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\421c11dd66e5d53e7140894896490667.bundle
True,86b1738f76b09fd899899f3bf5f372a5.bundle,maps_scenedata_1730.bundle,86b1738f76b09fd899899f3bf5f372a5,7115324,7115324,31/10/2025 12:59:30,2,StreamingAssets/Bundle/BundleList.txt,491,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\86b1738f76b09fd899899f3bf5f372a5.bundle
True,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle,lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4,6825607,6825607,29/05/2026 13:33:20,4,StreamingAssets/Bundle/BundleList.txt,21058,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle
True,886f59fa7a3a7fcc70f6d0a1661f2fa8.bundle,maps_scenedata_5140.bundle,886f59fa7a3a7fcc70f6d0a1661f2fa8,5375586,5375586,31/10/2025 13:00:20,2,StreamingAssets/Bundle/BundleList.txt,5826,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\886f59fa7a3a7fcc70f6d0a1661f2fa8.bundle
True,3402aa15f5d386919ccb743f3744c87e.bundle,maps_scenedata_1970.bundle,3402aa15f5d386919ccb743f3744c87e,4924950,4924950,31/10/2025 13:00:43,2,StreamingAssets/Bundle/BundleList.txt,5192,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\3402aa15f5d386919ccb743f3744c87e.bundle
True,a3db360b407f1ef2281c8ad534f2a5e7.bundle,lua_data_data_0.bundle,a3db360b407f1ef2281c8ad534f2a5e7,4714209,4714209,29/05/2026 13:33:21,5,StreamingAssets/Bundle/BundleList.txt,21060,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\a3db360b407f1ef2281c8ad534f2a5e7.bundle
True,918a4705e6753fbc35e1d9f2e522b37a.bundle,lua_data_vn.bundle,918a4705e6753fbc35e1d9f2e522b37a,4592306,4592306,29/05/2026 13:33:16,4,StreamingAssets/Bundle/BundleList.txt,6061,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\918a4705e6753fbc35e1d9f2e522b37a.bundle
True,b866841c4a58b70467e1b41f3dff437b.bundle,maps_scenedata_1260.bundle,b866841c4a58b70467e1b41f3dff437b,4424621,4424621,31/10/2025 13:01:16,2,StreamingAssets/Bundle/BundleList.txt,5677,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b866841c4a58b70467e1b41f3dff437b.bundle
