"Name","Length","LastWriteTime","FullName"
"672deab62412da5e1fead47d6ffc24ae.bundle","579199080","09/05/2026 18:10:43","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\672deab62412da5e1fead47d6ffc24ae.bundle"
"55d3250aa52a522c89fffd3b6d0e1b2c.bundle","238411712","29/05/2026 13:33:28","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\55d3250aa52a522c89fffd3b6d0e1b2c.bundle"
"d3bef375135ed004976bc2465a4cea82.bundle","214228014","09/05/2026 18:14:38","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d3bef375135ed004976bc2465a4cea82.bundle"
"502e9825e68cd6f62b79a7c6f052e496.bundle","209587119","28/11/2025 18:08:59","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\502e9825e68cd6f62b79a7c6f052e496.bundle"
"b0291e434a9459a1391931d812329745.bundle","161205070","29/05/2026 13:33:26","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b0291e434a9459a1391931d812329745.bundle"
"4a4b66c70ed716c10cb157e6cf4e8adb.bundle","115488387","03/03/2026 14:29:19","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4a4b66c70ed716c10cb157e6cf4e8adb.bundle"
"8221237e35eb383ce30b4e14f1c241b0.bundle","112121862","09/05/2026 18:11:30","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\8221237e35eb383ce30b4e14f1c241b0.bundle"
"371aeaf2ae0bd9ccf617dc13cf01b6c6.bundle","105070193","24/11/2025 14:24:50","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\371aeaf2ae0bd9ccf617dc13cf01b6c6.bundle"
"cc6b55c0f4fb640f27636c81222d801b.bundle","89430249","29/05/2026 13:33:24","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\cc6b55c0f4fb640f27636c81222d801b.bundle"
"24bc56413295b08cc2bab3704f28de8d.bundle","83035597","04/03/2026 21:21:11","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\24bc56413295b08cc2bab3704f28de8d.bundle"
"5c722e8605706d30a7cda3a3a308c8c8.bundle","78639234","25/11/2025 19:38:17","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5c722e8605706d30a7cda3a3a308c8c8.bundle"
"09185d4e0cbe6f64e4ee8ed4935581d2.bundle","73834030","31/10/2025 12:58:20","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\09185d4e0cbe6f64e4ee8ed4935581d2.bundle"
"32c3f51a60e84639045c97e7e16c6ace.bundle","71846253","09/05/2026 18:10:00","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\32c3f51a60e84639045c97e7e16c6ace.bundle"
"510323ee61eac46fde11d7ee278e81ee.bundle","71699589","03/03/2026 14:29:31","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\510323ee61eac46fde11d7ee278e81ee.bundle"
"c3bf181913bd63f8f97f97769dbb1dc8.bundle","70239518","29/05/2026 13:33:19","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c3bf181913bd63f8f97f97769dbb1dc8.bundle"
"220f007c6611e1b88bf546246047744d.bundle","64588524","24/03/2026 19:37:38","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\220f007c6611e1b88bf546246047744d.bundle"
"9fd224415f7ea361b582a54be55a8c85.bundle","56882613","09/05/2026 18:11:33","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\9fd224415f7ea361b582a54be55a8c85.bundle"
"a80f1b7d68a2906d60864ca56f6fd7d0.bundle","56297507","31/10/2025 12:59:30","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\a80f1b7d68a2906d60864ca56f6fd7d0.bundle"
"45d1e0b07b6f9b8aa894cbdf07660cf7.bundle","48440797","03/03/2026 14:29:40","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\45d1e0b07b6f9b8aa894cbdf07660cf7.bundle"
"73adc62dc8194454761eae5663231830.bundle","45821875","09/05/2026 18:11:42","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\73adc62dc8194454761eae5663231830.bundle"
"d506ba95c318791a33d54670058a0153.bundle","42169425","31/10/2025 13:00:08","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d506ba95c318791a33d54670058a0153.bundle"
"76e47c5f2eda651107a3ee7099c2059a.bundle","41571614","03/03/2026 14:30:00","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\76e47c5f2eda651107a3ee7099c2059a.bundle"
"cb01a86bc32d990bb6861e37c2481657.bundle","36264505","09/05/2026 18:11:33","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\cb01a86bc32d990bb6861e37c2481657.bundle"
"05addb472b8af7c191f0afa4dec5c462.bundle","35193011","03/03/2026 14:30:55","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\05addb472b8af7c191f0afa4dec5c462.bundle"
"0da9f255b8ce0ae15f9d4269d8557a5a.bundle","34171482","03/03/2026 14:29:37","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0da9f255b8ce0ae15f9d4269d8557a5a.bundle"
"99c75dd4c581c9240c3b9ed04f94106f.bundle","33894444","09/05/2026 18:13:53","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\99c75dd4c581c9240c3b9ed04f94106f.bundle"
"5b582214ccc30bbb9dd58f15d3255ce6.bundle","33840765","09/05/2026 18:13:51","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5b582214ccc30bbb9dd58f15d3255ce6.bundle"
"1defe6ae21b80fbb5c1288c726a10221.bundle","33265051","24/11/2025 14:24:32","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\1defe6ae21b80fbb5c1288c726a10221.bundle"
"c8796a97fcd3fdcd03d4ee514eb865c7.bundle","32964059","15/12/2025 13:19:33","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c8796a97fcd3fdcd03d4ee514eb865c7.bundle"
"d3cacbe4d86f6d718384e2ac7e7fc5fb.bundle","28143414","31/10/2025 12:58:49","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d3cacbe4d86f6d718384e2ac7e7fc5fb.bundle"
"b71081e45fca038d25465209e5e4c71a.bundle","24360075","31/10/2025 12:58:52","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b71081e45fca038d25465209e5e4c71a.bundle"
"07c86fc678dee2f67894585e414a1260.bundle","23703976","09/05/2026 18:12:43","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\07c86fc678dee2f67894585e414a1260.bundle"
"5d252c6f80784c5b21404e1370c20e25.bundle","23309977","29/05/2026 13:33:19","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5d252c6f80784c5b21404e1370c20e25.bundle"
"73f0cccf34da5486e6b2268ba2e570cc.bundle","21497597","31/10/2025 12:59:05","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\73f0cccf34da5486e6b2268ba2e570cc.bundle"
"eb31241a6f2081672899314d9deee45b.bundle","20929511","09/05/2026 18:06:46","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\eb31241a6f2081672899314d9deee45b.bundle"
"1c247caab97115c79ae422f90d99fe75.bundle","20295924","25/11/2025 19:37:38","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\1c247caab97115c79ae422f90d99fe75.bundle"
"fb744497997a575ed28246c406c0eedd.bundle","19815187","31/10/2025 12:59:17","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\fb744497997a575ed28246c406c0eedd.bundle"
"c0449d81aaf788fb3b2c0d38be382f4a.bundle","19727747","31/10/2025 12:59:25","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c0449d81aaf788fb3b2c0d38be382f4a.bundle"
"d3510a1d45d7a9f1e2f5847b2affb2e6.bundle","19652369","09/05/2026 18:07:16","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d3510a1d45d7a9f1e2f5847b2affb2e6.bundle"
"40128d6daf48c43f130825116570e588.bundle","19529054","31/10/2025 12:59:32","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\40128d6daf48c43f130825116570e588.bundle"
"d7f440df6d78dedc7d090d93e759a193.bundle","19258026","24/11/2025 14:24:02","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d7f440df6d78dedc7d090d93e759a193.bundle"
"7019e195728fa7cc538e42d702254726.bundle","18594930","31/10/2025 12:59:46","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\7019e195728fa7cc538e42d702254726.bundle"
"dddd0ad46c18ec78553a41b95e132893.bundle","18371523","31/10/2025 12:59:48","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\dddd0ad46c18ec78553a41b95e132893.bundle"
"ff1aefcbe1b328869c23416bbe7c0ef4.bundle","18075972","31/10/2025 12:59:50","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\ff1aefcbe1b328869c23416bbe7c0ef4.bundle"
"0d2a9fd9d2cf0ef62397a2213423e4c1.bundle","17852266","31/10/2025 12:59:53","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0d2a9fd9d2cf0ef62397a2213423e4c1.bundle"
"6828de0e8346b8df7670edc8f9e7387f.bundle","17807249","09/05/2026 18:07:27","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\6828de0e8346b8df7670edc8f9e7387f.bundle"
"de234e823246667905982a19c63b021d.bundle","17615602","03/03/2026 14:30:03","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\de234e823246667905982a19c63b021d.bundle"
"fe7041a0e6064fceef6b7fa013a99603.bundle","17186650","31/10/2025 12:59:57","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\fe7041a0e6064fceef6b7fa013a99603.bundle"
"db1a0abbc508cb2ed88f49b04eee4e07.bundle","16572531","24/11/2025 14:24:09","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\db1a0abbc508cb2ed88f49b04eee4e07.bundle"
"63ece19fccc8093cbb137b94af6b031e.bundle","16534531","03/03/2026 14:30:06","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\63ece19fccc8093cbb137b94af6b031e.bundle"
"473c43d3e5806798a89b570d8bafbdda.bundle","16494119","31/10/2025 13:00:01","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\473c43d3e5806798a89b570d8bafbdda.bundle"
"2136020d1a286248e219f3528b16120d.bundle","16259249","09/05/2026 18:07:40","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\2136020d1a286248e219f3528b16120d.bundle"
"b0e86d6f5bf88e61dc48fa196e2f8e1b.bundle","16130304","31/10/2025 13:00:02","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b0e86d6f5bf88e61dc48fa196e2f8e1b.bundle"
"b7047512a19d6e0726a1b3349991b691.bundle","16050166","31/10/2025 13:00:04","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b7047512a19d6e0726a1b3349991b691.bundle"
"d4f4f6e73115d48f8ae91850e699bf73.bundle","15919793","31/10/2025 13:00:06","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d4f4f6e73115d48f8ae91850e699bf73.bundle"
"40c1c76efd729a6df16fb049614e288f.bundle","15899088","31/10/2025 13:00:07","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\40c1c76efd729a6df16fb049614e288f.bundle"
"0b03e9aa8d79b41b905a54fad6c6c5f9.bundle","15724659","28/11/2025 18:08:28","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0b03e9aa8d79b41b905a54fad6c6c5f9.bundle"
"0f3b122d82ee336a9c0c70e35dea32da.bundle","14777171","31/10/2025 12:58:08","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0f3b122d82ee336a9c0c70e35dea32da.bundle"
"4760ae5eab0394f8383aa51d9157d07b.bundle","14543042","31/10/2025 12:58:09","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4760ae5eab0394f8383aa51d9157d07b.bundle"
"90c85b5ba8ceb97a8a5f59e41ce8dddf.bundle","14231185","31/10/2025 12:58:10","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\90c85b5ba8ceb97a8a5f59e41ce8dddf.bundle"
"8cae6dc700874182848a96ec1576ea00.bundle","14080259","31/10/2025 12:58:13","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\8cae6dc700874182848a96ec1576ea00.bundle"
"5b5ccfe6bdebd6bda94246c2f4211260.bundle","14057579","31/10/2025 12:58:15","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5b5ccfe6bdebd6bda94246c2f4211260.bundle"
"4e64fcfbe4baa19d3cffc532f759c6cc.bundle","13947826","09/04/2026 20:11:24","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4e64fcfbe4baa19d3cffc532f759c6cc.bundle"
"9415f8a18d187b120ecd7ceec91ec38e.bundle","13850066","29/05/2026 20:56:26","C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\9415f8a18d187b120ecd7ceec91ec38e.bundle"
