Category,MatchedTerms,AddressHex,AddressDec,Name,Signature,TypeSignature
RNG,RNG,0x12f9180,19894656,Mono.Security.X509.PKCS12$$get_RNG,"System_Security_Cryptography_RandomNumberGenerator_o* Mono_Security_X509_PKCS12__get_RNG (Mono_Security_X509_PKCS12_o* __this, const MethodInfo* method);",iii
RNG,Random,0x12fd8f0,19912944,Mono.Security.Cryptography.SymmetricTransform$$Random,"void Mono_Security_Cryptography_SymmetricTransform__Random (Mono_Security_Cryptography_SymmetricTransform_o* __this, System_Byte_array* buffer, int32_t start, int32_t length, const MethodInfo* method);",viiiii
RNG,Random,0x1f80880,33032320,Mono.Security.Cryptography.DSAManaged$$get_Random,"System_Security_Cryptography_RandomNumberGenerator_o* Mono_Security_Cryptography_DSAManaged__get_Random (Mono_Security_Cryptography_DSAManaged_o* __this, const MethodInfo* method);",iii
RNG,Random,0x1f79e70,33005168,Mono.Math.BigInteger$$GenerateRandom,"Mono_Math_BigInteger_o* Mono_Math_BigInteger__GenerateRandom (int32_t bits, System_Security_Cryptography_RandomNumberGenerator_o* rng, const MethodInfo* method);",iiii
RNG,Random,0x1f7a090,33005712,Mono.Math.BigInteger$$GenerateRandom,"Mono_Math_BigInteger_o* Mono_Math_BigInteger__GenerateRandom (int32_t bits, const MethodInfo* method);",iii
RNG,Random,0x1f7a860,33007712,Mono.Math.BigInteger$$Randomize,"void Mono_Math_BigInteger__Randomize (Mono_Math_BigInteger_o* __this, System_Security_Cryptography_RandomNumberGenerator_o* rng, const MethodInfo* method);",viii
RNG,Random,0x1f7aa70,33008240,Mono.Math.BigInteger$$Randomize,"void Mono_Math_BigInteger__Randomize (Mono_Math_BigInteger_o* __this, const MethodInfo* method);",vii
REFINE,Refine|EquipRefine,0xbf7fc0,12550080,System.Func<EquipRefineFxInfo>$$.ctor,"void System_Func_EquipRefineFxInfo____ctor (System_Func_EquipRefineFxInfo__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
REFINE,Refine|EquipRefine,0xbf7fc0,12550080,System.Func<EquipRefineFxInfoMap>$$.ctor,"void System_Func_EquipRefineFxInfoMap____ctor (System_Func_EquipRefineFxInfoMap__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
REFINE,Refine|EquipmentRefine,0xbf7fc0,12550080,System.Func<EquipmentRefineAOINotify>$$.ctor,"void System_Func_EquipmentRefineAOINotify____ctor (System_Func_EquipmentRefineAOINotify__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
REFINE,EquipmentSmallLevelExp,0xbf7fc0,12550080,System.Func<EquipmentSmallLevelExpInfo>$$.ctor,"void System_Func_EquipmentSmallLevelExpInfo____ctor (System_Func_EquipmentSmallLevelExpInfo__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
LUCK_PRAY_BLESS,Luck|Lucky,0xbf7fc0,12550080,System.Func<GameLuckyDrawInfo>$$.ctor,"void System_Func_GameLuckyDrawInfo____ctor (System_Func_GameLuckyDrawInfo__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
