logical_bundle,physical_bundle,unpacked_size,keyword,count,first_offset
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,RefineModel,56,869211
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,UI_EquipRefineNew,5,6429619
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,EquipRefine,81,2307032
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,RefineTicket,84,2306973
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,RefineProtect,7,6442511
lua_lua.bundle,9415f8a18d187b120ecd7ceec91ec38e.bundle,35350920,RefineHighLevel,5,6483721
lua_data_data_0.bundle,a3db360b407f1ef2281c8ad534f2a5e7.bundle,99987424,EquipRefine,4,69919210
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle,35855820,EquipRefine,2,22747672
lua_data_data_3.bundle,78c72862cba7f77b516d4d2bc311a9f5.bundle,13304872,EquipRefine,1,11228907
lua_data_data_3.bundle,78c72862cba7f77b516d4d2bc311a9f5.bundle,13304872,RefineTicket,1,11235155
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,data_equip_Refine,5,3057452
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,data_equip_RefineProtect,1,3815292
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,data_equip_RefineHighLevel,1,11211772
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,data_equip_RefineTicket,1,3057452
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,data_equip_RefineSlotInherit,1,36982020
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,EquipRefine,2,36981689
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,RefineTicket,1,3057463
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,RefineProtect,1,3815303
lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,95344688,RefineHighLevel,1,11211783
